BIZ_NAME,PRIMARY_EMAIL,PRIMARY_PHONE,LICENSE,PERMIT_ID,STREET_NO,STREET,CITY,STATE,ZIPCODE,PERMIT_DATE
SULLIVAN SOLAR POWER,,,839077,"""6b9d2c5bb26c30da""",908,LAKE ST,HUNTINGTON BEACH,CA,92648,2019-01-24
SULLIVAN SOLAR POWER,,,839077,"""c7df9a7e7fb1759f""",5523,LIPIZZANER CIR,OCEANSIDE,CA,92057,2017-11-28
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""606bd6183c112cf1""",4515,ADAIR ST,SAN DIEGO,CA,92107,2019-01-16
SULLIVAN ELECTRIC & PUMP INC.,,,,"""e82b1b3e5ced604c""",15527,IMPERIAL POINT LN,WELLINGTON,FL,33414,2019-06-07
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""e770a17c8e88c92b""",5220,ALTA VISTA ST,SAN DIEGO,CA,92109,2021-04-28
SULLIVAN ELECTRIC & PUMP INC.,,,,"""fbeee64d42972dd7""",701,E CAMINO REAL CA,BOCA RATON,FL,,2012-11-06
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""af231b5ba736362a""",13286,TRAILHEAD PL,SAN DIEGO,CA,92129,2020-11-23
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""e4d55bacb46a26ff""",11341,CANTER HEIGHTS DR,SAN DIEGO,CA,92130,2021-07-22
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""d85b38aba722ef76""",3219,33RD ST,SAN DIEGO,CA,92104,2018-02-15
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""4a24ab03c5fe62d3""",1006,SOMERSET LN,NEWPORT BEACH,CA,92660,2015-06-25
BALLANCE HEATING & AIR IN KENZ-PAY ELECTRIC DANNY SULLIVANS PLUMBING DREAMAMKERS CONST. LLC,,,,"""1f62f12e5acc9667""",30,WATER MINT PL,PRINCETON,NC,27569,2021-09-07
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""e06fd590ee754263""",5348,MIDDLETON RD,SAN DIEGO,CA,92109,2018-12-23
SULLIVAN SOLAR POWER,,,839077,"""90c4ac89d2d99eeb""",7612,APPLEBY DR,HUNTINGTON BEACH,CA,92648,2018-06-25
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""ac88b9f49bedf87d""",23935,DEL AMO RD,RAMONA,CA,92065,2016-10-06
SULLIVANS ELECTRICAL SERVICE LLC,,,,"""a94b4fcaab7506ed""",5653,GUILFORD AVE,INDIANAPOLIS,IN,46220,2013-02-07
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""43fd6aea4e7925a8""",11462,ASH CREEK PL,SAN DIEGO,CA,92131,2019-11-18
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""dc4c395ce84c65ee""",9585,RED DIAMOND DR,LAKESIDE,CA,92040,2019-05-14
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""2fccbd519e2be881""",11241,DEL DIABLO WAY,SAN DIEGO,CA,92129,2019-10-21
SULLIVANS ELECTRICAL SERVICE LLC,,,,"""0f6ebd4ddc902581""",77,S FENTON AVE,INDIANAPOLIS,IN,46219,2012-11-12
SULLIVAN ELECTRICAL,,,,"""2f364911ab8efc9d""",4333,N LN,DEL MAR,CA,92014,2010-02-12
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""0f7483a8d142e116""",5243,EL SECRETO,RANCHO SANTA FE,CA,92067,2019-07-30
SULLIVAN SOLAR POWER,,,839077,"""adaa1fe83daeacc5""",19241,REDFORD LN,HUNTINGTON BEACH,CA,92648,2012-09-21
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""c34ef5e03a216b4e""",9604,CAMINITO MACKLIN,LAKESIDE,CA,92040,2018-10-26
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""2f26efe22550aaa6""",3914,DONNA AVE,SAN DIEGO,CA,92115,2021-09-17
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""d114336f294ce9c8""",13738,ACORN CIR,VALLEY CENTER,CA,92082,2016-01-04
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""5891566c52fccb3e""",4870,49TH ST,SAN DIEGO,CA,92115,2019-12-04
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""5f820554b91c781c""",2471,PRESIDIO DR,SAN DIEGO,CA,92103,2019-05-03
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""54240c1b50f28c4d""",8268,TOP O THE MORNING WAY,SAN DIEGO,CA,92127,2018-05-24
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""a397b843d59d1cb0""",13652,LA FAMILIA CT,LAKESIDE,CA,92040,2015-05-26
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""543302165046e842""",20415,VIA SANLUCAR,YORBA LINDA,CA,92887,2014-01-02
OSULLIVAN GREEN SOLAR,tim@osullivangreensolar.com,(408) 628-4142,1018350,"""b88cd3557914ba2a""",1801,FOXWORTHY AVE,SAN JOSE,CA,95124,2019-10-14
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""3e5c8beee5f4ef86""",35066,VIA LAGUNA,WINCHESTER,CA,92596,2016-05-24
OSULLIVAN GREEN SOLAR,tim@osullivangreensolar.com,(408) 628-4142,1018350,"""11a1067005935273""",1035,MALONE RD,SAN JOSE,CA,95125,2020-06-07
SEAN T SULLIVAN (S) ELECTRICIAN GENERAL SUPERVISING 5221S,,,,"""e46d600cc89e5c56""",1401,N 10TH AVE,STAYTON,OR,97383,2016-03-15
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""54e8489eb502bbfb""",7920,LAKE ANDRITA AVE,SAN DIEGO,CA,92119,2021-07-07
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""cbf3d8e90e2c134f""",,,CHULA VISTA,CA,,2018-03-07
SULLIVAN ELECTRIC POWER OF CALIF,,,,"""486585c55d7e7021""",23728,GOLD STRIKE CIR,PERRIS,CA,92570,2014-04-28
SULLIVAN SOLAR POWER,,,839077,"""e5f7b35ad4392565""",463,LEXINGTON CIR,OCEANSIDE,CA,92057,2013-09-04
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""e2468b22f6cfee42""",11104,CARLOTA ST,SAN DIEGO,CA,92129,2019-11-18
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""8b3b7e23881ef269""",1502,AVOCADO WAY,ESCONDIDO,CA,92026,2014-03-20
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""8fd740e1a29af639""",5822,SUNMIST DR,YORBA LINDA,CA,92886,2017-03-15
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""b1000fffb9c76a86""",17863,SR,RAMONA,CA,92065,2016-06-10
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""6fc1a389774ccccc""",4385,36TH ST,SAN DIEGO,CA,92104,2019-10-24
SULLIVAN ELECTRIC & PUMP INC.,,,,"""49b001ad18566ef8""",1801,S FLAGLER DR,WEST PALM BEACH,FL,33401,2006-08-11
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""251215dee2e37029""",5130,VIA AVANTE,RANCHO SANTA FE,CA,92067,2021-09-23
OSULLIVAN GREEN SOLAR,tim@osullivangreensolar.com,(408) 628-4142,1018350,"""0f771132bc5672bf""",16213,CAM DEL SOL,LOS GATOS,CA,95032,2019-07-26
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""b10bb000493753ff""",40755,CHAPARRAL DR,TEMECULA,CA,92592,2018-06-07
SULLIVAN ELECTRICAL,,,,"""c12169f5fd65f400""",1729,SMOKEY LN,SPRING VALLEY,CA,91977,2010-04-23
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""b4de473516511a01""",928,QUAIL HILL RD,FALLBROOK,CA,92028,2013-11-07
SULLIVAN ELECTRICAL,,,,"""11e13f2bc6856d67""",1310,MONTECITO LN,FALLBROOK,CA,92028,2012-04-10
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""f2fe22d011faa1e1""",5414,CALLE BLANCA TRL,SAN DIEGO,CA,92130,2020-12-01
SULLIVAN ELECTRIC & PUMP INC.,,,,"""92df22b2321723f1""",2425,W MAYA PALM DR,BOCA RATON,FL,33432,2002-05-23
SULLIVAN ELECTRICAL,,,,"""96dd4001bfd322cf""",1704,RICE CANYON RD,FALLBROOK,CA,92028,2012-01-06
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""ed4edc2127d18d52""",3022,KOBE DR,SAN DIEGO,CA,92123,2019-02-04
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""657146ecac603589""",3263,E VIRGO RD,SAN DIEGO,CA,92105,2020-06-03
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""189d422199f42094""",9940,CUMMINS PL,SAN DIEGO,CA,92131,2019-03-22
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""28ca532a2094869d""",11885,SAINT MORITZ TER,SAN DIEGO,CA,92131,2019-06-17
SULLIVAN ELECTRIC SERVICES CO.,,,,"""4b09e090ab80cf4e""",2011,SWAZEY DR,DECATUR,GA,30032,2012-01-04
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""a9f0f5fc378c46e8""",3999,BURMA CT,FALLBROOK,CA,92028,2021-06-11
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""eb72e6259ec77457""",1209,VALENCIA DR,ESCONDIDO,CA,92025,2013-08-20
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""894b831b5b568657""",12738,CLL DE LA SIENA,SAN DIEGO,CA,92130,2019-01-30
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""693783ee41e2d8f7""",5781,RUTGERS RD,SAN DIEGO,CA,92037,2019-07-30
SULLIVAN ELECTRIC SERVICES CO.,,,,"""d1cb1f227acc8515""",623,CENTER HILL AVE NW,ATLANTA,GA,30318,2019-07-09
SULLIVAN SOLAR POWER CON C10-839077,,,,"""e2de6b8f8d18d892""",12756,WINDSTAR DR,RANCHO CUCAMONGA,CA,91739,2013-10-21
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""34b02dea941dee6d""",4746,THURSTON PL,SAN DIEGO,CA,92130,2020-02-06
SULLIVANS ELECTRICAL SERVICE LLC,,,,"""a7e1f2177a1150bd""",1651,FLETCHER AVE,INDIANAPOLIS,IN,46203,2020-01-30
SULLIVAN ELECTRIC SERVICES CO.,,,,"""92b5ee84b5b07acf""",643,ETHERIDGE,ATLANTA,GA,,2008-01-18
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""3ace149d2047e364""",5435,CARMEL KNOLLS DR,SAN DIEGO,CA,92130,2019-08-27
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""107e22754bb90345""",10785,CHERRY HILL DR,SAN DIEGO,CA,92130,2021-04-12
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""981a10bd28f86b91""",2499,INDIGO DR,EL CAJON,CA,92019,2015-05-28
SULLIVAN ELECTRICAL,,,,"""2419bdab194df236""",28942,WELCOME VW,ESCONDIDO,CA,92026,2012-09-05
STEPHENSON HEATING AND AI RA JACKSON ELECTRICAL/ROB DANNY SULLIVANS PLUMBING BLS INC.,,,,"""349322dbccd47ffb""",68,JEANS WAY,BENSON,NC,27504,2021-01-25
SULLIVAN ELECTRIC AND PUMP INC.,,,,"""822e8af0f83ee565""",2771,RIVERSIDE DR,CORAL SPRINGS,FL,33065,2018-10-16
SULLIVAN ELECTRIC LLC,,,,"""887a9e7ec580d1bd""",4215,NE 76TH ST,KANSAS CITY,MO,64119,2021-05-20
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""8aed8fe9b9d9f608""",11278,VEREDA MAR DEL CORAZON SAN DIEGO CA 92130,SAN DIEGO,CA,,2021-09-29
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""1c5507b00c07befb""",5906,OLIVE HILL RD,BONSALL,CA,92003,2016-04-19
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""d25002094ccaef4e""",1643,BIRDSONG PL,EL CAJON,CA,92021,2015-10-26
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""119e96c8a495cda2""",3248,VIA LOMA VIS,ESCONDIDO,CA,92029,2016-10-13
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""c149b445440b3f00""",10336,LONGDALE PL,SAN DIEGO,CA,92131,2021-03-19
SULLIVAN SOLAR POWER,,,839077,"""2f939874ad4b733b""",1557,SKYLARK WAY,CHULA VISTA,CA,91911,2014-02-03
SULLIVAN ELECTRIC SERVICES CO.,,,,"""b130a1979630162e""",2208,SANDRIDGE PL SW,ATLANTA,GA,30331,2012-02-13
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""c2eb49739371c361""",4851,CASALS PL,SAN DIEGO,CA,92124,2018-04-19
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""302d20ec28adbe5b""",2166,DUNHAVEN ST,SAN DIEGO,CA,92110,2019-06-01
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""660cca3f769af16a""",6822,FAIRCHILD AVE,FONTANA,CA,92336,2016-02-22
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""b75bc2bf4ee47de4""",26681,VIA LA JOLLA,SAN JUAN CAPISTRANO,CA,92675,2016-01-04
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""65b17dc72b7cf17f""",11717,CLL ALBARA,EL CAJON,CA,92019,2016-05-16
SULLIVAN ELECTRIC INC.,,,EC140,"""a47260eedb6df276""",119,30TH AVE N,NASHVILLE,TN,37203,2004-07-22
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""82170b9fce73914c""",1127,VIA LA CUESTA,ESCONDIDO,CA,92029,2020-09-30
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""9e225bf88007803d""",17160,WHIRLWIND LN,RAMONA,CA,92065,2013-06-10
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""06e712457acae9a6""",16968,OBSIDIAN DR,RAMONA,CA,92065,2019-12-18
SULLIVAN SOLAR POWER,,,839077,"""e045d6de6e2037a8""",1544,SLEEPING INDIAN RD,FALLBROOK,CA,92028,2018-04-04
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""22bb2c97904aee1e""",678,RICHLAND VIEW CT,SAN MARCOS,CA,92069,2016-11-14
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""3bd5b17e405dd9bc""",11198,MONTAUBON WAY,SAN DIEGO,CA,92131,2019-10-30
SULLIVAN SOLAR POWER,,,839077,"""b88b23c42d43c004""",247,LAS FLORES DR,CHULA VISTA,CA,91910,2011-11-10
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""771fc47b9a321ee2""",4966,LAMONT ST,SAN DIEGO,CA,92109,2021-01-27
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""5f9701c4afd8877d""",10013,HELIX MONT DR,LA MESA,CA,91941,2018-11-06
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""c9263761a089a8f5""",5302,VALLE VISTA DR,LA MESA,CA,91941,2014-10-08
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""b758f10ce4a79617""",616,POPPY AVE,NEWPORT BEACH,CA,92625,2013-09-12
OSULLIVAN GREEN SOLAR,tim@osullivangreensolar.com,(408) 628-4142,1018350,"""ce6830f5e4589973""",6494,LITTLE FALLS DR,SAN JOSE,CA,95120,2018-02-25
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""ee52749559f908d2""",1138,CANDLEWOOD LN,EL CAJON,CA,92020,2019-09-20
SULLIVAN ELECTRIC & PUMP INC.,,,,"""f9ff5d23fc241079""",208,FERN ST,WEST PALM BEACH,FL,33401,2010-05-11
SULLIVAN ELECTRIC & PUMP INC.,,,,"""cb20e8cfd262b10e""",900,S OLIVE AVE,WEST PALM BEACH,FL,33401,2006-08-31
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""adb161610561758b""",12590,WOODSIDE WAY,CHINO,CA,91710,2018-04-25
SULLIVAN ELECTRIC POWER OF CALIF,,,,"""3c449ead22a958a2""",32415,YATES RD,WINCHESTER,CA,92596,2012-10-11
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""06296932926e100c""",13005,NIGHTFALL TER,SAN DIEGO,CA,92128,2021-07-20
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""8f699066c7bdfa4f""",936,SACRAMENTO AVE,SPRING VALLEY,CA,91977,2015-05-20
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""13d0816d10eb337f""",18369,VIA AMBIENTE,RANCHO SANTA FE,CA,92067,2016-01-15
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""904d2a7c43a80bc7""",1778,SUTTER ST,SAN DIEGO,CA,92103,2020-10-19
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""44f7e631cc855843""",14525,CLL CARLA,RANCHO SANTA FE,CA,92067,2014-08-07
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""b654ef7874665f89""",940,CONGRESS ST,COSTA MESA,CA,92627,2015-02-20
SULLIVAN SOLAR POWER OF CALIFORNIA INC.,,,839077,"""f86da95ab1ea0a99""",3324,HARBOR VIEW DR,SAN DIEGO,CA,92106,2019-02-13
